Player,Link,Tm,Money,Signed Using,Year
Brandon Bass,bassbr01,LAC,1551659,Minimum Salary,2017
Raymond Felton,feltora01,LAC,1551659,Minimum Salary,2017
Anderson Varejao,varejan01,GSW,1551659,,2017
David West,westda01,GSW,1551659,Minimum Salary,2017
Beno Udrih,udrihbe01,DET,1551659,Minimum Salary,2017
James Jones,jonesja02,CLE,1551659,Minimum Salary,2017
Chris Andersen,anderch01,CHO,1551659,,2017
Jarrett Jack,jackja01,ATL,1551659,,2017
Mitch McGary,mcgarmi01,OKC,1526040,,2017
Justin Anderson,anderju01,PHI,1514160,1st Round pick,2017
Marcelo Huertas,huertma01,HOU,1500000,,2017
DeAndre' Bembry,bembrde01,ATL,1499760,1st Round pick,2017
Jordan Adams,adamsjo01,MEM,1465080,,2017
Bobby Portis,portibo01,CHI,1453680,1st Round pick,2017
Demetrius Jackson,jacksde01,BOS,1450000,Cap Space,2017
Malachi Richardson,richama01,SAC,1439880,1st Round pick,2017
Sasha Vujacic,vujacsa01,NYK,1410598,Minimum Salary,2017
Gerald Green,greenge01,BOS,1410598,Minimum Salary,2017
Rodney Hood,hoodro01,UTA,1406520,1st Round Pick,2017
Michael Beasley,beaslmi01,MIL,1403611,Minimum Salary,2017
Marreese Speights,speigma01,LAC,1403611,Minimum Salary,2017
JaVale McGee,mcgeeja01,GSW,1403611,Minimum Salary,2017
Alonzo Gee,geeal01,NOP,1400000,,2017
Rondae Hollis-Jefferson,holliro01,BRK,1395600,1st Round pick,2017
Willy Hernangomez,hernawi01,NYK,1375000,Cap Space,2017
Deyonta Davis,davisde01,MEM,1369229,Cap Space,2017
Kevin Martin,martike02,MIN,1360305,,2017
Nikola Jokic,jokicni01,DEN,1358500,,2017
Shabazz Napier,napiesh01,POR,1350120,1st Round Pick,2017
Tyus Jones,jonesty01,MIN,1339680,1st Round pick,2017
Sasha Kaun,kaunsa01,PHI,1333420,,2017
Timothe Luwawu-Cabarrot,luwawti01,PHI,1326960,1st Round pick,2017
Ty Lawson,lawsoty01,SAC,1315448,Minimum Salary,2017
Alan Anderson,anderal01,LAC,1315448,Minimum Salary,2017
Marcus Thornton,thornma01,BRK,1315448,,2017
Clint Capela,capelca01,HOU,1296240,1st Round Pick,2017
Jarell Martin,martija01,MEM,1286160,1st Round pick,2017
Brice Johnson,johnsbr02,LAC,1273920,1st Round pick,2017
Jeremy Evans,evansje01,IND,1227286,,2017
Lance Stephenson,stephla01,NOP,1227286,,2017
Luke Babbitt,babbilu01,MIA,1227000,Minimum Salary,2017
Jordan Mickey,mickejo01,BOS,1223653,,2017
C.J. Wilcox,wilcocj01,ORL,1209680,,2017
Larry Nance Jr.,nancela02,LAL,1207680,1st Round pick,2017
R.J. Hunter,hunterj01,BOS,1200240,,2017
Brandon Jennings,jennibr01,WAS,1200000,Room Exception,2017
Pascal Siakam,siakapa01,TOR,1196040,1st Round pick,2017
Kyle Anderson,anderky01,SAS,1192080,1st Round Pick,2017
Chris McCullough,mcculch01,WAS,1191480,1st Round pick,2017
Josh Huestis,huestjo01,OKC,1191480,,2017
Livio Jean-Charles,jeancli01,SAS,1188840,,2017
Skal Labissiere,labissk01,SAC,1188840,1st Round pick,2017
Kevon Looney,looneke01,GSW,1182840,1st Round pick,2017
Dejounte Murray,murrade01,SAS,1180080,1st Round pick,2017
Damian Jones,jonesda03,GSW,1171560,1st Round pick,2017
Isaiah Whitehead,whiteis01,BRK,1074145,Cap Space,2017
Rakeem Christmas,chrisra01,IND,1052342,,2017
Joe Young,youngjo01,IND,1052342,Cap Space,2017
Terrence Jones,joneste01,NOP,1050961,,2017
Thomas Robinson,robinth01,LAL,1050961,Minimum Salary,2017
Pablo Prigioni,prigipa01,HOU,1050961,,2017
Quincy Acy,acyqu01,DAL,1050961,,2017
Brian Roberts,roberbr01,CHO,1050961,Minimum Salary,2017
Glenn Robinson,robingl02,IND,1050500,Minimum Salary,2017
Ivica Zubac,zubaciv01,LAL,1034956,Cap Space,2017
Richaun Holmes,holmeri01,PHI,1025831,Cap Space,2017
Isaiah Canaan,canaais01,CHI,1015696,Minimum Salary,2017
DeAndre Liggins,liggide01,DAL,1015696,Minimum Salary,2017
Robert Covington,covinro01,PHI,1015696,Cap Space,2017
Justin Holiday,holidju01,NYK,1015696,Minimum Salary,2017
Willie Reed,reedwi02,MIA,1015696,Cap Space,2017
Ian Clark,clarkia01,GSW,1015696,Minimum Salary,2017
Anthony Bennett,bennean01,BRK,1015696,,2017
Mike Muscala,muscami01,ATL,1015696,Minimum Salary,2017
Jeff Withey,witheje01,UTA,1015696,,2017
Montrezl Harrell,harremo01,HOU,1000000,,2017
Elton Brand,brandel01,PHI,1000000,,2017
Edy Tavares,tavarwa01,ATL,1000000,,2017
Jerami Grant,grantje01,OKC,980431,Draft Pick,2017
Damjan Rudez,rudezda01,ORL,980431,Minimum Salary,2017
James Michael McAdoo,mcadoja01,GSW,980431,Minimum Salary,2017
Nick Johnson,johnsni01,DEN,980431,,2017
Sean Kilpatrick,kilpase01,BRK,980431,Minimum Salary,2017
Joe Harris,harrijo01,BRK,980431,Minimum Salary,2017
JaMychal Green,greenja01,MEM,980431,Minimum Salary,2017
Stephen Zimmerman,zimmest01,ORL,950000,Cap Space,2017
Jason Thompson,thompja02,GSW,945126,,2017
Andrew Harrison,harrian01,MEM,945000,Cap Space,2017
Raul Neto,netora01,UTA,937800,,2017
Malcolm Brogdon,brogdma01,MIL,925000,Cap Space,2017
Wayne Ellington,ellinwa01,SAC,923670,,2017
Tyler Ulis,ulisty01,PHO,918369,Cap Space,2017
Norman Powell,powelno01,TOR,874636,Cap Space,2017
Jonathon Simmons,simmojo02,SAS,874636,Minimum Salary,2017
Pat Connaughton,connapa01,POR,874636,Minimum Salary,2017
Alan Williams,willial03,PHO,874636,Minimum Salary,2017
Josh Richardson,richajo01,MIA,874636,Minimum Salary,2017
Anthony Brown,brownan02,LAL,874636,,2017
Jordan McRae,mcraejo01,CLE,874636,,2017
Christian Wood,woodch01,CHO,874636,Cap Space,2017
T.J. McConnell,mccontj01,PHI,874636,,2017
Salah Mejri,mejrisa01,DAL,874636,,2017
Cristiano Felicio,feliccr01,CHI,874636,,2017
Darrun Hilliard,hillida01,DET,874060,Cap space,2017
Martell Webster,webstma02,WAS,830000,,2017
Michael Beasley,beaslmi01,PHO,777777,,2017
Paul Zipser,zipsepa01,CHI,750000,Cap Space,2017
Spencer Dinwiddie,dinwisp01,BRK,726672,Minimum Salary,2017
Bobby Brown,brownbo02,HOU,680534,Minimum Salary,2017
A.J. Hammons,hammoaj01,DAL,650000,Cap Space,2017
Carlos Delfino,delfica01,LAC,650000,,2017
